text,user,time,favorites,retweets,sentimentA,sentimentB,friendCount,followerCount,description,location,type,time_bin,cluster
you do understand if they want it they can just get it no need to inconvenience people to make yourself feel better,thatnceq,6/13/17 11:24,0,0,Negative,sadness,65,577,i own mares who are equally dramatic and crazy its a chick thing sweet carolina girl,252,reply,12,3
and that empowered you how you are a mindless wonder,AmericanPlush,6/13/17 11:24,0,0,Neutral,surprise,478,630,mother wife former business owner former planning commissioner chairman board of director rabid music lover and thundering herd fan,South Carolina,reply,12,2
did you just waste a lowwage workers time and achieve nothing indeed,Mr_Chup0n,6/13/17 11:23,0,0,Negative,NA,994,199,fungahhh,Earf.,reply,12,2
sjws are the worst,TheRyanDuvall,6/13/17 11:22,1,2,Negative,NA,414,552,broadcast alum director of how you doin productions hydp big brother fanatic loyal follower of and trump is my daddy,,reply,12,2
the girls section have harry potter items boys none,i_am_joey,6/13/17 11:22,0,0,Neutral,NA,2792,1223,i talk about food films music sports and just about everything in between hit me up,GTA,reply,12,NA
as someone who works in retail i would just like to point out that if you want to make a statement go to corporate,drinkthepeach,6/13/17 11:21,2,0,Very Positive,joy,88,148,bitchy lil princess,looking in the fridge ,reply,12,1
aww i was totally behind this because i thought it was a statement on how mens clothing is becoming,crazydiscostu,6/13/17 11:21,1,0,Positive,NA,378,426,the often incoherent ramblings of an ni writermusiciantall dark handsomely bearded nerdfed by tumblri reply to twitter adverts savedyouaclick advocate,"Bangor, Northern Ireland ",reply,12,3
there are already nasa shirts in the girls section i work in the clothing department at target,elisebby01,6/13/17 11:21,0,0,Positive,NA,3360,3630,zelda kitties beer psn nnid snapchat twitch elisebby,"St Petersburg, FL",reply,12,NA
well done you,OlgaUK1,6/13/17 11:21,0,0,Positive,NA,244,94,havent slept since nov,,reply,12,3
will u demand that chocolate cake be put in the vanilla cake box how do you liberals have enough tim,ReeCee22,6/13/17 11:19,0,0,Neutral,NA,257,129,,,reply,12,2
you sure are destroying that patriarchy man,CrimsonThunder_,6/13/17 11:19,0,0,Negative,NA,15,22,proud member of the lgbbq community did you get triggered boo hoo people that block are pathetic and weak im fighting against the shitty left right,,reply,12,1
well whatever makes you feel important i guess,Dingmatt,6/13/17 11:19,0,0,Very Positive,NA,17,13,,,reply,12,3
good for you now do the same for girls stuff and put them on the boys section make it hell for unde,Henry_Haphorn,6/13/17 11:18,0,0,Neutral,joy,173,188,dust veteran and eve online player most of the time is also a miku hatsune fan dust university director and lecture host,New Eden,reply,12,1
i just walked my girls to boys area they picked their shirts we didnt shame anybody or riot in sto,ReeCee22,6/13/17 11:18,0,0,Very Negative,sadness,257,129,,,reply,12,2
or you could just disregard the section labels in the first place which is what a ton of people already do but good job,megiggle25,6/13/17 11:17,0,0,Positive,joy,367,177,bespectacled pianist introverted librarian inquisitive mind follower of christ,,reply,12,3
ever notice how the womens section is always twice the size of menswear nono intention of prot,Propaneman1968,6/13/17 11:17,0,0,Neutral,NA,73,19,do i really have to write a bio this aint facebook noone cares,,reply,12,2
but that just added to the sales clerks workload why not raise the issue to the managers or start a letteremail campaign,adrienne_kt,6/13/17 11:16,0,0,Negative,NA,603,616,courage creativity compassion cats,,reply,12,3
thatll show em,_Keith_Brunson_,6/13/17 11:16,0,0,Neutral,NA,182,43,,,reply,12,NA
why,urfavouritememe,6/13/17 11:15,0,0,Neutral,NA,89,36,lol watch this,Buzzfeed HQ,reply,12,NA
how is a store supposed to know how to set up with u crazy people if u start attacking stores how r,ReeCee22,6/13/17 11:14,0,0,Negative,NA,257,129,,,reply,12,2
youre an idiot i dont want to have to sift through clothing made for men or kids to find the cloth,DeckledEdges,6/13/17 11:13,0,0,Neutral,NA,214,218,recently started using twitter not a bot but i do enjoy russian dressing trump all day every day no lists i block vile blue check people maga,,reply,12,2
not all heroes wear capes,_Kafuka,6/13/17 11:13,0,0,Negative,NA,356,436,anime mlp tv youtube my english is painful,"_Ù___È__„ __, _Ô_µ_È_¡„Û„Ä„Å„Î",reply,12,1
its not as if the employees had a hard enough time making sure shit is in the right place then you,spacekarth,6/13/17 11:13,0,0,Negative,NA,152,106,dont let anything get in the way of your happiness,,reply,12,2
wow emmeline pankhurst would be so proud,grizzlefizzle,6/13/17 11:12,0,0,Very Positive,joy,645,180,,London,reply,12,3
you stupid twatwaffle those dont fit girls correctly we dont want our girls going around with their breasts hanging out,Keasmom,6/13/17 11:11,0,0,Positive,anger,378,1033,mom small business owner political junkie and activist trumptarian love genkelly maga boycotthollywood,"Somewhere, Alabama",reply,12,2
does anyone care nope,paintpimp5280,6/13/17 11:11,0,0,Positive,joy,331,541,,,reply,12,2
you useless twit,gabixmaltese,6/13/17 11:10,0,0,Negative,NA,2375,1915,erotic short stories that will cream your jeans if youre looking for romantic billionairevampire tripe go ask your mom i follow back,USA,reply,12,NA
so you proved to be unreliable employee hope your boss sees this sees you are too dumb to realize,markle_darla,6/13/17 11:10,0,0,Negative,NA,2068,1000,enjoy life family friends is what makes world go round being adult takes responsibility,"Yakima, WA",reply,12,NA
lol u r so dum,samurai_legesse,6/13/17 11:08,0,0,Neutral,NA,94,55,this is our home now,"Lower East Side, Manhattan",reply,12,2
the fact that you woke up went to the store and thought about doing that then done it is beyond belief what a sad life,SimplyMesut,6/13/17 11:08,0,0,Neutral,sadness,216,575,m,,reply,12,1
you are super woke,gratefulgil,6/13/17 11:05,0,0,Positive,NA,124,17,panthers vols blue devils hornets,,reply,12,2
off yourself,xDrumss,6/13/17 11:05,0,0,Neutral,NA,425,261,waw,United States,reply,12,2
fuckin bs,AshtonnMcL,6/13/17 11:04,0,0,Negative,NA,450,309,,,reply,12,1
my first reaction is looks natural to me and then i thought oh wait youre retail yay you,original_mikz,6/13/17 11:03,0,0,Positive,NA,184,223,technomadic inay enthusiastic hot tubbin bushwalkin poly ecosjw transport freak,"Sydney, San Francisco, etc.",reply,12,3
if you dont like the way that shirts are stocked get a job there and stock them yourself,FeedMeAGrape,6/13/17 11:03,0,0,Very Positive,joy,418,162,roses are red violets are blue nut on floor and on tad too,"Streator, IL",reply,12,2
this thread is why i cannot wait for the world to combust,yOuAiNtNoCrOoK,6/13/17 11:03,0,0,Very Negative,NA,82,54,shit i keep forgetting about dre,Brooklyn Zoo,reply,12,2
wow youre so fucking progressive now some underpaid employee has to move it back after your despera,_WeeabooJones_,6/13/17 11:02,0,0,Neutral,joy,117,65,sup yall its me ya boy skinny penis,My waifu pillow fort,reply,12,2
why,Ian_Schmidtmann,6/13/17 11:02,0,0,Neutral,NA,1373,865,i play video games and stream sometimes sc iantentions,Tiddy Town,reply,12,2
please stop doing that as in doing so you are just being a nuisance,FeedMeAGrape,6/13/17 11:02,0,0,Negative,joy,418,162,roses are red violets are blue nut on floor and on tad too,"Streator, IL",reply,12,2
i did the same thing,svalentino96,6/13/17 11:01,1,0,Neutral,NA,281,47,nevertheless she persisted resist,,reply,12,3
youre a fucking loser lmaoooo,KuruptSociety_,6/13/17 10:59,0,0,Very Negative,NA,104,2757,take another hit kill another serotonin,,reply,12,1
as far as i know nasa shirts and tank tops are distributed in female sections around america sold out maybe just a guess,LeMemeSwiper57,6/13/17 10:59,0,0,Positive,NA,51,16,my name a jeff,"Black Mesa, NM",reply,12,2
i bought a tank for my daughter in the girls section of recently maybe they were just out of stock there,StephanieKenney,6/13/17 10:58,1,0,Neutral,NA,350,177,community relations professional wife to my high school sweetheart mom to strong girls dog mom softball coach foodie townie bleeding heart,"Upton, MA",reply,12,3
they have these items in the girls section already dumbass,joshuawillo,6/13/17 10:56,0,0,Negative,NA,189,74,from eastern north carolina,fayetteville nc,reply,12,2
big moron eye level,Speee1dyTheresa,6/13/17 10:56,0,0,Positive,NA,99,49,,,reply,12,2
im an editor at elite daily and were hyped about this tweet do you have a moment to talk email afamacom,asvokos,6/13/17 10:56,0,0,Very Positive,NA,995,3092,senior editor opera punk asvokoscom,"NY, NY",reply,12,3
just another autistic feminazi next,oriols98,6/13/17 10:55,0,0,Neutral,NA,239,107,jokerit oilers hjk fan kajaani finland trying to find what identifies me the most and what gets me closer to the truth,Europe,reply,12,2
oh yeah youre a real world changer lame,blamwham14,6/13/17 10:55,0,0,Positive,NA,402,31,food food football us general news government politics haha movies ncaa football news nfl politics science science technology,"Washington, USA",reply,12,3
my sister just walks over to the boys section if she likes some of those shirts better its not hard,Likeonions,6/13/17 10:54,0,0,Positive,NA,39,11,i basically only created this account to join giveaways,,reply,12,2
and this achieves what exactly looks to me like the only one to gain is your ego your action isnt,Ekbalco,6/13/17 10:54,0,0,Very Positive,joy,716,601,horse rider history nut coder,Dublin,reply,12,3
i think youre confusing retail stores with parents their job is to figure out what the majority of,JLew6,6/13/17 10:53,0,0,Positive,NA,31,4,i the constitution robots,,reply,12,2
wow youre really making a difference,Laidback_Blake,6/13/17 10:53,0,0,Positive,NA,369,305,aspiring comedian i play video games im loud and tweet a lot get over it i have some opinions you may share snapchat laidbackblake newhip,Your Moms House,reply,12,3
bravo,dmiller123,6/13/17 10:52,0,0,Positive,NA,250,19,,Massachusetts,reply,12,3
you do know they sell female nasa tank tops,The____Tardis,6/13/17 10:52,0,0,Positive,NA,265,137,saxophone intro to careless whisper discord,,reply,12,2
wow people are getting offended by clothing store sections what has this world become,Matt_ziegler_,6/13/17 10:51,0,0,Positive,NA,198,96,nj devils,,reply,12,2
selfimportant twit,AndyTX_guns,6/13/17 10:50,0,0,Neutral,NA,8,3,regular everyday reasonable guy,"Dallas, TX",reply,12,2
absolutely awesome,Science4UsSays,6/13/17 10:50,1,0,Positive,NA,3240,3851,jennas from boston sciefus is from well not sure but now theyre in sofl ready to share some awesome science and stem resources for k and beyond,"Fort Lauderdale, FL",reply,12,NA
i can see why youre upset but now some employee has to put them back in the right section not fair to himher,Aosc2,6/13/17 10:49,0,0,Negative,NA,1517,383,i promise funny or interesting contentsometimes both please support my channel review gents on youtube,"Hilton Head Island, SC",reply,12,2
there are a lot of nasa t shirts in the girls section at the last target i went to but we didnt get,kayakjake,6/13/17 10:49,0,0,Neutral,sadness,22,10,,,reply,12,2
why would you do this,ConnorMcdermott,6/13/17 10:49,0,0,Neutral,NA,252,354,learn then remove the l loz,Hextable,reply,12,2
wait what why did this happen why is this ok,only1tyjones,6/13/17 10:48,0,0,Negative,NA,886,3387,paranoid around soft niggaz they make me nervous liveyourbestlife,Probably in space ,reply,12,3
well arent you the rebel of our time,BlueRidgeChick,6/13/17 10:48,4,0,Neutral,NA,1195,1251,catholic pro life feminist politically incorrect regan conservative i fight against the racist identity politics of the left,Virginia,reply,12,2
youre really changing the world thank you,joemisterr,6/13/17 10:47,1,0,Positive,NA,272,304,i can do the splits what up whos gonna walk you through the dark side of the morning,"Clear Lake, IA",reply,12,2
you achieved nothing with this congratulations mate,ItsMeCabbage,6/13/17 10:47,1,0,Neutral,NA,242,9153,parody account of twitter connoisseur and professional nabber follow and private dms open on,"Lisbon, Portugal",reply,12,2
youre not busy enough,Archbishop_Lox,6/13/17 10:46,0,0,Neutral,NA,295,98,watching the debacle from afar,"Winchester, England, UK.",reply,12,2
good for you,Marty_Parrish,6/13/17 10:46,0,0,Positive,joy,86,53,it project manager a democratic party national delegate former biden for president staff living in iowa to vet presidential candidates impeachtrump,"Clive, Iowa",reply,12,3
so youre basically making more work for minimum wage working women nice job,lynn_borden,6/13/17 10:46,0,0,Very Positive,NA,45,18,,,reply,12,2
wow youre so edgy someone stop her,MetroChuck,6/13/17 10:46,0,0,Negative,NA,139,439,hillary clinton is disqualified from holding any public office under us code title section,The Traphouse,reply,12,2
imagine being this lonely,slurpycock,6/13/17 10:46,1,0,Negative,NA,111,219,i cook a nigga like steak and rice,ur moms house ahahahhahaa,reply,12,2
youre a dumb person,M4iden_Canada,6/13/17 10:45,0,0,Negative,NA,69,31,,Canada,reply,12,1
changing the way the store arrange their items almost like the boys tank tops were intended to be in the boys section,codegrammmar,6/13/17 10:44,0,0,Very Positive,joy,101,54,my mom said if she catches me on here shell slam my head into the keybajaooan kdlal laiakppln xml vhncal,,reply,12,2
woah slow down there edge lord wouldnt want to start revolution now would you,My_Dog_Charlie,6/13/17 10:44,0,0,Negative,NA,65,18,racist bigoted cuck sjw mongoloid neck beard,Russiastan,reply,12,2
the next time i move the clothes around and put it in the wrong places i will just call it heroic acts of feminism,Tim10112abc,6/13/17 10:44,0,0,Neutral,joy,440,50,conservatism antithesis to trumpism,,reply,12,2
we actually do have nasa shirts for girls if you looked,keyana_little,6/13/17 10:44,0,0,Neutral,NA,222,423,,,reply,12,3
seeing as target sells nasa girls stuff i would assume it was just sold out and now youve taken th,Science_Reigns,6/13/17 10:43,0,0,Neutral,NA,330,258,ive got a lot of problems with you people and now youre going to hear about it call me what you want youre probably ugly,Kingdom of Saudi Arabia,reply,12,2
humanssuck,TimWachter,6/13/17 10:43,0,0,Neutral,NA,196,432,serial chiller,"Utrecht, The Netherlands",reply,12,2
youre the kind of person who makes other people want to kill themselves,LiamRomain,6/13/17 10:41,2,0,Positive,joy,219,195,ill slay anything if the opportunity is given stiff arm the weak i own a website,Dirty Dryden,reply,12,1
orrr you could make nasa shirts for girls instead of fucking up someone elses day thatd take actual effort though,Wellbreastfed,6/13/17 10:41,0,0,Positive,NA,205,415,fucking my ex for uh place to stay feminists cant name a wnba player forbes faithfulblackmantwitter blm proudexmarine naturalist,My momma house,reply,12,3
yall just making it hard on the sales associates smh whats the point to this,KingAlers,6/13/17 10:41,0,0,Negative,NA,294,214,hockey player iona college vice president of wicr iona college radio snapchat emmanuel instagram kingalers,,reply,12,3
did you just take the time out of your privileged day to fuck with some probably already suicidal wag,Jade_Stuff,6/13/17 10:40,0,0,Negative,NA,77,9,,,reply,12,2
yes i bought the nasa tshirt for myself from the mens section,kmkasner,6/13/17 10:40,1,0,Positive,NA,589,289,the main thing is to be moved to love to tremble to live rodin,"Midwest, USA",reply,12,3
this is just an inconvenience to the workers lol,__emwhatt,6/13/17 10:40,0,0,Negative,NA,475,956,boi,RIP Darius Boyer#62,reply,12,1
and created havoc for the poor person who has to hunt thru all departments now to do inventory and tagging thanks so much,TxLyoness,6/13/17 10:40,0,0,Negative,sadness,81,12,juggler painter baker apprentice wordsmith a little of everything i suppose,,reply,12,3
you sure are a special kind of stupid arent you,AntrimBill,6/13/17 10:39,0,0,Positive,joy,38,3,,,reply,12,NA
please name some of the many female astronauts that would probably be more effective for girls than,BevfromNYC,6/13/17 10:38,0,0,Very Positive,joy,45,59,,,reply,12,2
did they cost less that the girls shirts,JeanneGoodman,6/13/17 10:38,0,0,Negative,NA,424,234,cooperative compassionate motivated and resourceful training manager a co saving the world opinions are my own do not reflect those of abt,"Boston, MA",reply,12,3
they had both girls and boysgirls must have sold out,DeSpicer,6/13/17 10:38,0,0,Neutral,NA,369,142,wife to momof could not ask for more lover of sand and sun snow and ski and any day or night that involves dancingand of course merica,,reply,12,2
hey mammalchange your handle to moronsjwsthataremammalssuckbecausetheyrestupid,mchabut1024,6/13/17 10:37,0,0,Neutral,NA,73,21,,,reply,12,3
you didnt do anything you lair you are too scared to do anything expect making fictional stories pathetic,Lie1q2q3You,6/13/17 10:37,0,0,Very Negative,fear,20,0,,,reply,12,2
wow you really are a cunt,SudoSwoodu,6/13/17 10:37,0,0,Neutral,NA,293,134,i live in a constant state of fear and misery,Swooden,reply,12,2
katie i applaud you,TruthEqualsFact,6/13/17 10:37,0,0,Positive,NA,7176,7412,imwithher the unexamined life is not worth living socrates live in reality its your one life,"Paradise, Earth",reply,12,NA
super fucking lame way to make some poor employees stay after their shift to clean up your mess thi,LizziQuiz,6/13/17 10:36,0,0,Very Negative,sadness,144,351,trust no bitch,‡ü_i‰â´bÌ_,reply,12,1
last time i was at target i found these in the mens section almost moved them to ladies section but,gambit_bijou,6/13/17 10:36,0,0,Positive,NA,3,1,,,reply,12,2
why didnt you just look at the girls nasa shirts at the front of targets girls section so brave of you,stonefacenathan,6/13/17 10:35,2,0,Neutral,NA,192,122,succeeding and proceeding since,"Lexington, KY",reply,12,3
why cant the girls buy anything from the boys section moving things just makes them harder for othe,CellCode7,6/13/17 10:34,0,0,Neutral,NA,12,0,,,reply,12,2
kudos shhhhhhhh dont tell anyone from the current administration,BLUE4equality,6/13/17 10:34,0,0,Positive,NA,170,148,resist reject obstruct trumpworld,"Philadelphia, PA",reply,12,3
did you just assume their sections,cataldokidd,6/13/17 10:33,0,0,Neutral,NA,844,463,ripjabjdcforeveryoung,West Everett ,reply,12,3
you know they also have those in the womens section too right is all about your agenda so pu,Katie_Freeman34,6/13/17 10:32,0,0,Positive,NA,296,258,college student outdoor enthusiast national park ranger in the making force of nature lets camp,,reply,12,2
but you can get the same nasa clothing in a girl cut all you did was confuse women into buying boycu,LiveitRivet,6/13/17 10:32,0,0,Very Negative,sadness,414,313,just a serg with controversial opinions most likely also cheesewedge for a head,,reply,12,2
have you ever worked retail jobs cause youre the kind of fuck who makes life harder for the employe,Old_Man_Gallows,6/13/17 10:30,0,0,Positive,joy,27,11,twitter account for a conservative guy living in a liberal city all opinions are my own and all memes are stolen pissed of people amuse me,"Berkeley, CA",reply,12,NA
thank you so much,Slimongi,6/13/17 10:30,0,0,Positive,NA,835,600,native manhattanite queens transplant fast walker slow talker deputy press secretary for rts are not endorsements,"New York, NY",reply,12,3
stupid liberal,brent_busch,6/13/17 10:29,0,0,Negative,surprise,1181,121,experience is a hard teacher because she gives the test first the lesson afterward vernon law,"Cedar Rapids, IA",reply,12,NA
oh wow youre a revolutionary next you can got to the produce and switch the bananas and peaches retard,CorvinDunaway,6/13/17 10:27,0,0,Positive,NA,10,0,,,reply,12,2
god youre a bellend if people wanted the nasa shirts they would go and get them go cry in ur safe space ya mong,HarryBevan78,6/13/17 10:27,0,0,Positive,sadness,53,238,quand mon verre est vide je le plains quand mon verre est plein je le vide brfc sccc,Grenoble / Paris,reply,12,3
just put the girl in the guys shirt then,Meg_327,6/13/17 10:26,0,0,Neutral,NA,273,131,occupation princess,,reply,12,3
wow wat a nice clothes,Boitume52541266,6/13/17 10:26,0,0,Very Positive,NA,544,66,,South Africa,reply,12,3
maybe put your energies towards something useful,deadbird1805,6/13/17 10:26,0,0,Positive,NA,44,34,not now,,reply,12,2
are you actually a mental deficient or are you just that much of an idiot,baseballdont,6/13/17 10:25,0,0,Very Negative,NA,217,47,leading expert in all things dont talk to me,,reply,12,2
thinking boys have certain clothes and girls theirs is sexist,ckjbg,6/13/17 10:25,0,0,Neutral,NA,32,19,,,reply,12,2
nigga yous gay,Jaceperr,6/13/17 10:24,0,0,Neutral,joy,35,13,b a d v i b e s emma is a dumbo,"Massachusetts, USA",reply,12,2
last rt ht,Winooski,6/13/17 10:24,0,0,Neutral,NA,781,2091,nato aka nate orshan btv vt marketing media copywriting design evolutionary science psychology music writingperformance beatlesinspired pop,"Burlington, Vermont, USA",reply,12,3
sometimes i buy metalhead tees from the girls section b,ruidovisual_,6/13/17 10:23,0,0,Neutral,NA,462,562,pixels code cofounder of,Mexico City,reply,12,3
i would think it better to move females from gender studies instead,Squish78,6/13/17 10:22,0,0,Positive,joy,649,289,tar heel born tar heel bred,North Carolina,reply,12,2
subversive making more work for somebody summer job tho,CanoedadCDR,6/13/17 10:22,0,0,Very Positive,NA,54,32,well read traveled educated and loved,Ohio,reply,12,NA
you not only conflate sex with gender but also advocate using patronus a latin word that is masc,FurorDextri,6/13/17 10:21,0,0,Neutral,NA,19,1,,,reply,12,NA
too much timeon your hands toobad doing something productive wasnt on your agenda im sure it took a,Missy266,6/13/17 10:21,0,0,Positive,NA,55,17,,,reply,12,2
after reading this entire thread ive come to this conclusion yall need a real hobby and we as a nation are screwed,clob9444,6/13/17 10:21,0,0,Very Positive,NA,10,62,,,reply,12,2
hurr dburr,feelgyxd,6/13/17 10:20,0,0,Neutral,NA,215,40,jojofag,"Nancy, France",reply,12,2
youre a dumb cvnt delete your account,Kehvan420,6/13/17 10:20,0,0,Negative,NA,180,70,my motto its better to have a gun and not need it than need a gun and not have it,"Wichita, KS",reply,12,NA
thats just fucking heroic,BeatrizAlbir,6/13/17 10:20,0,0,Neutral,NA,679,439,princesa del reino berenjena y astronauta de interior me gustan los gatos y los actores britnicos,"Valencia, Spain",reply,12,3
absolute idiots on this thread,Stupot1994,6/13/17 10:18,0,0,Negative,NA,921,414,everton,Preston,reply,12,1
as someone who has worked in a clothing store there is nothing more annoying than when customers move the clothing around,purpleview,6/13/17 10:17,0,0,Neutral,anger,919,743,life is purple at least it should be darrencriss klaine computergames malec matthewdaddario loveislove dont listen to criticism unless it benefits you,Denmark,reply,12,3
i understand the message but the employees have nothing to do with the merchandise and where its pla,oilonmypizza,6/13/17 10:17,0,0,Neutral,NA,647,1116,kean university blacklivesmatter ig uhpizza,"New Jersey, USA",reply,12,3
does it bother me that a nasa shirt is in the girls section no problem is someone trying to make i,ckjbg,6/13/17 10:16,0,0,Neutral,anger,32,19,,,reply,12,2
but nasa is exclusively for men why would u ever do that,salagabe77,6/13/17 10:16,0,0,Neutral,NA,437,204,i probably dont care about you,,reply,12,1
guarantee all you did here is piss off the employee who saw them min later and put them back but g,cotume27,6/13/17 10:15,0,0,Neutral,anger,202,52,writer retail peon friend daughter sister,Plastic Beach,reply,12,3
