"","text","user","time","favorites","retweets"
"79","leave children out of your crap let kids be kids and stop pushing them into your likeness","moonfly9",2017-06-13 10:32:04,0,0
"80","hehe you really showed those low wage employees just doing their jobs for minimum wage","RealPsychrozen",2017-06-13 10:31:18,2,0
"81","i love that she did this not the original bias","ExploreYourEdge",2017-06-13 10:30:37,0,0
"83","take that target employee who has to put it all back job well done","LiquidLozenge",2017-06-13 10:27:12,1,0
"84","so when i am shopping with my daughters and they want one i have to go find the right sized somewhere else in the","88husker",2017-06-13 10:27:00,1,0
"85","as a human good for you as a former retail employee i hope you go straight to hell","JohnnyC908",2017-06-13 10:23:57,0,0
"86","its not like target supports trans people and is generally pro social justice gotta do some dumb shit like this b","RomyLarson",2017-06-13 10:23:14,1,0
"87","ive worked retail too long this kinda just annoys me shes just making the employees work harder so she can show","OdicHastings",2017-06-13 10:22:10,0,0
"88","i hope you put those back for the sake of the minimum wage retail workers","goldltechnocrat",2017-06-13 10:22:08,0,0
"89","dismantling the patriarchy in large and small ways","LynneCripe",2017-06-13 10:20:07,0,0
"90","did i just take a bunch of bob marley bucket hats from the boys section and put them in the maternity section ja b","aseriousmang",2017-06-13 10:19:01,4,0
"91","thanks for making someone elses job harder so that you could pretend to confront sexism building the strawmen h","xkristi_kat",2017-06-13 10:18:02,1,0
"92","did i just virtuesignal on the world wide web yes yes i did","DET1969",2017-06-13 10:17:04,2,0
"93","savage","RecruiterBrandi",2017-06-13 10:15:40,6,2
"94","did you just make the work day harder for underpaid shift workers many of whom are women yes yes you did","kingisthequeen",2017-06-13 10:14:54,3,1
"95","this","jzHere",2017-06-13 10:13:56,0,0
"96","cada pessoa retardada nesse mundo","rafofel",2017-06-13 10:12:21,0,0
"97","inspired civil disobedience","Dunks",2017-06-13 10:11:48,0,0
"98","waa","lanshealy",2017-06-13 10:10:13,0,0
"100","congrats you just did what every nigga does when they dont feel like putting groceries back in the correct place","TasiaPaintings",2017-06-13 10:06:33,3,0
"101","love this","SarahButtonedUp",2017-06-13 10:05:40,2,0
"102","well behaved people rarely make history","johnleesandiego",2017-06-13 10:05:15,0,0
"103","i get the it but someone has to work to now put those clothes back they prob make less per hour than you do","thecherness",2017-06-13 10:01:10,17,2
"105","the comments on this it was a joke maybe theyll sell better here idk but dont be stupid if you want a damn","_DeviantLola1_",2017-06-13 09:55:31,2,0
"106","why dont you move some of those dresses into the boys department you sexist one sided pig","BrianBarBar",2017-06-13 09:55:11,2,0
"107","are you the one who told me i couldnt in the gender neutral bathroom at target","DadsFilmReviews",2017-06-13 09:54:50,9,4
"108","i have a month old girl and have to shop in boys section for cool non pink clothes totally sick of assumptions","jenny_allison",2017-06-13 09:53:46,1,0
"109","ya wcw thinks shes woke because she rtd this","Justise_League",2017-06-13 09:53:31,2,0
"110","but why","QueenTrey_",2017-06-13 09:52:54,0,0
"112","did you move items from their designated rack to one they dont belong on thus giving likely min wage workers addit","UchuuRaion",2017-06-13 09:51:00,1,0
"113","im going to move all of the adam sandler dvds to the trash bag aisle because folks those films are garbage","SteveCuff",2017-06-13 09:47:44,5,0
"114","peak tumblr on twitter we arent safe anywhere","Brombadil",2017-06-13 09:46:00,0,0
"115","excellent","second_nature",2017-06-13 09:45:52,0,0
"116","you go girl","Nick_el_odeon",2017-06-13 09:44:25,0,0
"117","oh thank god youve fixed the worlds problems in reality you just made a store pickup employee stress the fuck o","Miketakon",2017-06-13 09:44:18,2,2
"118","sadly this is the level some ppl think is required to make a difference in this world try a little harder next time","Flaganatas",2017-06-13 09:43:54,1,1
"119","guerrilla feminism in the aislesgreat idea cant wait to go shopping","ProfRedding",2017-06-13 09:43:35,0,0
"120","the world will never be the same","Liberty8691",2017-06-13 09:43:24,1,0
"121","those minimum wage shop workers must really love you for making their day harder","PanchoTaffy",2017-06-13 09:41:01,0,0
"122","i hope you get banned from the store next time you cunt","AntifaGamerGate",2017-06-13 09:40:51,8,2
"123","maybe you could find a way to combat sexism without like making jobs harder for retail employees","bornsecuIar",2017-06-13 09:40:49,2,0
"124","fucking ridiculous with this dumb fucking bullshit you dumb bitch its not even that serious walk your ass to the","BIGT3X4SMEAT",2017-06-13 09:40:44,0,0
"125","the most grating thing of it is you know someones gonna throw a hissy fit at the cashier","JTabon",2017-06-13 09:40:23,0,0
"126","oh this is so easy and so good","SarahEFranklin",2017-06-13 09:39:20,3,0
"127","i appreciate the sentiment but as someone whos worked minimum wage retail also a light please dont fuck with w","twomiletower",2017-06-13 09:38:59,8,0
"128","target literally has a nasa top for each of the demographics already","_aeb_oneefour",2017-06-13 09:38:22,3,0
"129","i appreciate the sentiment but all youve really done is made some minimum wage workers life more difficult","passingfair",2017-06-13 09:36:09,5,0
"130","yall just giving employees there more work cant yall just walk to that section and get the damn shirt if u want it","gloseoks",2017-06-13 09:34:25,0,0
"131","in case you didnt see this one","beccastainton1",2017-06-13 09:33:37,1,0
"132","youre a piece of shit","RyanK823",2017-06-13 09:32:02,0,0
"133","type of hero we need","villancikos",2017-06-13 09:30:03,0,0
"134","good on you","Furry_Feets",2017-06-13 09:29:25,0,0
"135","resist","ndimhypervol",2017-06-13 09:28:47,1,0
"136","more of this please","LISSABACH3",2017-06-13 09:27:25,0,0
"137","i will be doing the same thing","OlinkaJB",2017-06-13 09:27:16,0,0
"138","culture jamming at its most basic good for them","PissTrumpArt",2017-06-13 09:24:48,0,0
"139","this thread will give you cancer oh my god man like the deeper you scroll the worse it gets","Indikur",2017-06-13 09:24:37,0,1
"142","kitchen now","Winnalldinho",2017-06-13 09:23:35,0,0
"143","yesss","samantha_kook",2017-06-13 09:22:30,1,0
"144","wait did you just assume this sections gender","hoedeehoe",2017-06-13 09:21:11,8,0
"145","inequality resolved","corey2407",2017-06-13 09:19:41,1,0
"146","shits on the poor snafu","DrunkenDeadpool",2017-06-13 09:18:04,0,0
"148","my girls would def buy them","acunabeat",2017-06-13 09:12:43,0,0
"149","good intentions dont excuse making an underpaid retail workers job harder and boys tanks are different they wo","GunwildPrime",2017-06-13 09:10:58,2,1
"150","the hero we all need right now way to go katie","Eng_Problems",2017-06-13 09:07:41,6,2
"151","got a verified badass over here","john_william",2017-06-13 09:06:58,0,0
"152","what a moron","WaGGuM",2017-06-13 09:04:44,30,30
"153","this is the best kind of trolling ive ever seen i think im going to do it next time im in target","SAprincess16",2017-06-13 09:04:20,0,0
"154","and this is what narcissism looks like","Grapplnpolymath",2017-06-13 09:03:58,0,0
"155","cc","laurenfritts",2017-06-13 09:03:25,1,0
"156","a very rare actually good case of consumer hacking","hhpapazian",2017-06-13 09:02:20,1,0
"157","and now those retail employees hate you too","joncupo",2017-06-13 09:02:09,0,0
"158","grax","its___mdm",2017-06-13 09:01:27,0,0
"160","rate this feminist praxis","Tieeeeeeen",2017-06-13 08:58:02,0,0
"161","my daughter would do this love it","ProfessorOfComm",2017-06-13 08:57:52,0,0
"162","omg love it","KelliKatsura",2017-06-13 08:57:27,0,0
"163","this is great and all but from a sales assistants perspective you are just being a pain in the ass","laurajanecops",2017-06-13 08:57:14,6,0
"164","siempre ha habido idiotas que descolocan la ropa para que las dependientas tengan trabajo lo nuevo es que lo presu","rafaelKxo",2017-06-13 08:55:32,0,0
"165","me when i put the bible in the fiction section at barnes and nobles","JeanPaul_Fartre",2017-06-13 08:55:16,3,0
"166","well done on pissing off a minimum wage employee to virtue signal on social media","adamjrcorbett",2017-06-13 08:54:50,0,0
"167","mal als ergnzung zum weil dieser ursprungstweet derzeit berall geteilt und gefeiert wird","nijakaie",2017-06-13 08:53:56,0,0
"168","another example of the blue checkmark just being an a indicator","njemm008",2017-06-13 08:52:19,0,0
"169","lets all do this and vice versa","SalonRebooted",2017-06-13 08:49:35,0,0
"170","yeah thatll show society and the hardworking employee who spent time organizing all of those clothes","NavyHuskie",2017-06-13 08:49:32,2,1
"171","yall gotta stop doing this shit youre making those employees ckean up after you in the name of gender equality","fragileprinxe",2017-06-13 08:46:32,4,1
"173","mais part faire chier les employes elle a accompli quoi","ShehrazedB",2017-06-13 08:46:14,0,0
"175","not take some of that fluffy puffy pink stuff and put it in the boys section","SilentInFlames",2017-06-13 08:43:57,0,0
"176","yes loved this","ThinkAvellana",2017-06-13 08:43:34,1,0
"179","the comments are pretty good","markvidreiro",2017-06-13 08:39:09,1,0
"180","target already sells girls nasa t shirts you silly idiot","brooklynmike21",2017-06-13 08:37:35,1,0
"181","she took a photo to prove her virtue signalling boast about it all it means is extra work for a shop assistant t","J_star500",2017-06-13 08:33:50,1,1
"182","wow so brave","yungvoidpointer",2017-06-13 08:31:34,0,0
"183","pitiful","Schweizermag",2017-06-13 08:31:00,0,0
"184","did i just cause more work for the same female workers that i claim to want to help because of sexism yes yes i","bengoodfella",2017-06-13 08:30:52,3,0
"185","im not entirely sure that tackling sexism starts in retail there are no barriers stopping anyone from walking int","moonemojianna",2017-06-13 08:30:18,1,0
"186","seen this and though holy shit doesnt get much more stupid","weepaul7",2017-06-13 08:30:12,0,0
"187","when attention seeking isnt resolved by adulthood","TheJeffBurkett",2017-06-13 08:28:52,0,0
"188","how about we dismantle rape culture and the wage gap before we move on to whatever youre doing here","MaxwellMatson",2017-06-13 08:28:28,1,0
"189","we have a new mission","TheLockerGym",2017-06-13 08:27:16,1,0
"190","as if the staff have nothing better to do than tidy up after your whims if you want feminine you go to the feminin","kitsonde",2017-06-13 08:25:56,1,0
"191","my daughter would love thisx","HeidiSumner",2017-06-13 08:24:51,0,0
"192","jai plus de mots pour dcrire quel point vous cassez les couilles jmanque dinspi","_Algebo",2017-06-13 08:23:22,0,0
"193","wtg","anncowlin",2017-06-13 08:22:12,0,0
"194","now this is what i like to see","adelecree",2017-06-13 08:22:11,0,0
"195","as someone better than me pointed at yesterday this is peak white feminism making life more difficult for minimu","orchid_grey",2017-06-13 08:22:00,3,0
"196","this is dumb its not sexism nothing is stopping women from going into the mens section and buying clothes","mr_geektastic",2017-06-13 08:21:35,0,0
"197","so edgy","terrygripfan",2017-06-13 08:19:14,0,0
"198","want to save me the trouble of doing the same with my little pony tops that my son loves so much","YerMouse",2017-06-13 08:18:55,0,0
"199","this makes me so happy next time im in target walmart will definitely be on the lookout for girls section cont","jess010",2017-06-13 08:12:33,0,0
"200","a true war against the patriarchy","whats_a_szmyhol",2017-06-13 08:11:37,1,0
"201","a vai l o coitado do funcionrio tomar esporro da chefia sem ter culpa nenhuma e ter um trabalho a mais por causa","sasxavier",2017-06-13 08:09:47,1,0
"202","this is why we need to stop liberalized feminism","Absurdosic",2017-06-13 08:09:34,1,0
"203","did i just make a retail employees job a little more difficult because of my sense of superiority my need for r","hellresidentNY",2017-06-13 08:08:48,10,2
"204","if we exiled every person who retweeted this tweet unironically we would lose nothing","rekon345",2017-06-13 08:08:13,0,0
"205","a true political activist","ffsmourinho",2017-06-13 08:07:54,0,0
"206","nice one","Caryn_Franklin",2017-06-13 08:07:23,12,0
"207","you claim to be a feminist but would never put girls clothes in the boys clothes section unless it was for a lau","lespetisjacques",2017-06-13 08:07:12,0,0
"208","este fin de semana pens en hacer esto mismo en una tienda","penguinjournals",2017-06-13 08:06:41,2,0
"209","i would hate you so much if i worked there","yeolmeister",2017-06-13 08:05:25,0,0
"210","as the mam of a daughter now i totally get it","SenoraLauraCG",2017-06-13 08:05:15,2,0
"213","you made someones job harder lmao maybe a woman lol","OGOfSum",2017-06-13 08:04:19,1,0
"214","yess good idea for future","sultansdiddl",2017-06-13 08:04:06,0,0
"215","what a bad bootle meff","ItsLloydM8",2017-06-13 08:01:44,0,0
"216","oh my god you attention seeking weirdo","CIassicalKane",2017-06-13 07:58:22,4,0
"217","this is irrelevant yes it might prove some sort of equality but on the larger scheme of things its bs","ChidiAchobandu",2017-06-13 07:58:10,0,0
"218","okay watch out lazy retailers you have been warned","amandajane",2017-06-13 07:57:20,0,0
"219","white feminism is thinking that the patriarchy is ended because some year old working to pay their student debt","dollarmenuianc",2017-06-13 07:55:57,1,0
"220","quiero la puta camiseta la quiero ya puta crack la seora puta crack","thelostdreamer",2017-06-13 07:52:52,24,4
"221","jfc when did everyone get so sensitive instead of inconveniencing those retail workers just walk to the boys sect","_amymarieee_",2017-06-13 07:49:25,2,0
"223","uk have tried to mix toys girls boys like in some stores cue tantrums of the kids and frazzled parents","CmdrJonty",2017-06-13 07:38:58,0,0
"224","warum dritte welle feminismus ein einziges meme ist","G59Terrorist",2017-06-13 07:35:04,2,0
"225","vind je van jezelf dat je geen leven hebt het kan altijd erger","jverhels",2017-06-13 07:32:25,3,0
"226","imagine being this stupid","MahinRyan",2017-06-13 07:32:02,0,0
"227","yaaaaas","lilsmct",2017-06-13 07:31:11,0,0
"228","yess yess yesss thank you girls are rocket scientists too","4PoliticalWomen",2017-06-13 07:29:08,0,0
"229","yes start a movement im in","AmyDortch",2017-06-13 07:27:00,0,0
"230","yall are so annoying","friedgreenonion",2017-06-13 07:25:24,0,0
"231","everything about this tweet from its author to the comment wars embodies whats wrong with liberals its amazing","Bullneck",2017-06-13 07:24:58,4,0
"232","well done","tsanevuori",2017-06-13 07:20:21,0,0
"233","its just a fucking shirt like no one gives a shit why do people make a big deal about stuff like this just live","jeff_pash",2017-06-13 07:20:19,1,0
"234","after we go the girls dept me my yo daughter go to the boys dept she knows there will be shorts for boys s","AllisonBonds1",2017-06-13 07:20:03,1,0
"235","inspired shopping","wildestwords",2017-06-13 07:20:02,0,0
"236","these sorts of people are whats wrong with the world","Llamaspeke",2017-06-13 07:18:24,0,0
"237","lol","DenisecWright",2017-06-13 07:18:13,5,1
"239","great read highly recommend scrolling through every comment","reidy_alex",2017-06-13 07:15:52,1,0
"240","a hero","downrightrandom",2017-06-13 07:15:38,0,0
"241","my timeline is fairly uniformly split on this with men mocking it and women thinking it is harmless","DJCPI",2017-06-13 07:14:29,3,0
"242","faut applaudir la","CiMoiCiJiuJiu",2017-06-13 07:13:39,1,0
"243","this is brilliant lt lt lt","CAStarfire",2017-06-13 07:12:46,0,0
"245","i mean you could contact the store managers and make some suggestions instead of making more work for some poor ret","TheMuffinMun",2017-06-13 07:10:18,3,0
"246","you should be proud that will surely alter the timespace continuum is such a manner that will result in more fema","ChaddieBistro",2017-06-13 07:10:04,1,1
"247","i move gator shirts to the back of the rack","202FSUNole",2017-06-13 07:08:52,1,0
"248","this is a real person in phoenix arizona","VolitionX",2017-06-13 07:08:30,0,0
"249","embarrassing","MarcusRutter26",2017-06-13 07:08:14,0,0
"250","dumbest shit ever","UsernameLos",2017-06-13 07:08:03,0,0
"251","youre not edgy youre a cunt","Alittlehazayy",2017-06-13 07:07:42,0,0
"252","retarded ass","iBe_Vibin",2017-06-13 07:03:37,0,1
"253","my hero","WriterSamMac",2017-06-13 07:02:43,0,0
"254","love this think we could start a revolution if we all do this when we go into kids clothes shops","Charly_Cope",2017-06-13 07:01:45,0,0
"255","someone help me out here because other than being a dick i fail to see the significance","marcellepps",2017-06-13 07:00:28,0,0
"256","sometimes you just see someone who deserves to have to tidy and organise an entire story and carry out an audit","WiseLoudOwl",2017-06-13 07:00:19,0,0
"257","oui","hardfire_",2017-06-13 06:59:59,1,0
"258","kenapa tak jalan je ke boys section dan beli the nasa tank tops for girls kenapa perlu menyusahkan diri","ameerfiqri_",2017-06-13 06:58:14,0,0
"259","elle est trop rebelle","JuliiiiiieSBT",2017-06-13 06:57:06,0,0
"260","this is okay only if they did this just for the picture then put it back","Nigmachangeling",2017-06-13 06:56:18,0,0
"261","social activism k","RafaelaPokrajac",2017-06-13 06:53:48,2,0
"262","what an absolute spastic","Nealbrasier",2017-06-13 06:52:11,0,0
"264","third wave assclown feminism","Rebel_Bill",2017-06-13 06:50:13,5,0
"265","fucking a","jrf195959",2017-06-13 06:49:26,0,0
"266","if they only have the shirt you want in the boys section even tho in this case target has girls nasa shirts just","KellerKristyna",2017-06-13 06:48:00,3,0
"267","my question is why nothing better to do","letshaveamoan",2017-06-13 06:46:26,0,0
"268","while talking about boygirl sections twat","SuicideBiscuits",2017-06-13 06:44:46,0,0
"269","i did something like this once i put a ratchet and socket set over by the landscaping stuff at sears","rob_blue",2017-06-13 06:39:30,1,0
"270","see momma i aint alone","MeaganJD",2017-06-13 06:39:28,2,0
"271","translation im a cunt who completely disregards the underpaid employee that has to fix this later","Sebadjas",2017-06-13 06:37:51,0,0
"273","life is short","StringerFooty",2017-06-13 06:34:15,2,0
"274","interested in lukes opinions on this","CannonTop",2017-06-13 06:33:51,0,0
"275","are you a cunt yes yes you are","jamesa498",2017-06-13 06:33:14,5,0
"276","dont heart this sexist post i was at target sunday girls nasa shirts were prominent t","chrismarciano",2017-06-13 06:31:59,0,0
"277","great idea","chrisparsonsftw",2017-06-13 06:29:08,0,0
"279","why would u do this i mean if you want those nasa shirt go in the boy section dont fuck off the work of the se","Lena_vion",2017-06-13 06:25:04,1,0
"280","boys buy nasa shirts and girls dont there no sexism involved","Sean9352",2017-06-13 06:21:43,0,0
"281","heronas","monsterswaltz",2017-06-13 06:19:21,4,1
"282","let em know","i_am_danichurch",2017-06-13 06:18:59,0,0
"283","more please","kathknights",2017-06-13 06:17:12,0,0
"284","mirad a lo que me voy a dedicar de ahora en adelante","bandarrita",2017-06-13 06:17:00,16,1
"285","i see some relevance here","KagundaCaleb",2017-06-13 06:15:03,0,0
"287","this is cool i just wish guys had more clothing options i mean sections in a store are usually reserved for w","_skywizard",2017-06-13 06:11:33,0,0
"288","and what does that achieve","WonderOfWatkins",2017-06-13 06:07:54,0,0
"289","excellent you want to try taking some hijabs and putting them in the boys section next week","alastairwriter",2017-06-13 06:07:43,0,0
"290","feel good for the lowwage worker who had to go and put that back this does literally nothing","Stralalneopac",2017-06-13 06:02:45,3,1
"291","love this","MishAbrahall",2017-06-13 06:02:35,0,0
"292","excellent idea should be done everywhere hate these rolestandards","GaviMensch",2017-06-13 06:01:29,0,0
"293","and then ppl working in retail will have to put them back pls stop making things hard for ppl working in the retai","babsgraysons",2017-06-13 06:01:13,1,0
"294","would do","Metamorphe_cos",2017-06-13 06:00:39,0,0
"295","because girls need their space too","seoksthetics",2017-06-13 05:58:57,1,0
"296","i would have done the same","djccook2745",2017-06-13 05:58:48,2,0
"297","yes will do some of that","noelenen",2017-06-13 05:58:06,0,0
"298","thats what im talking about lil changes make big differences trust me","DCowboyPrincess",2017-06-13 05:51:02,1,1
"299","these clothes are haram you women should be covered up in modest way these are offensive","iam_RobbieSingh",2017-06-13 05:42:07,1,0
"300","wah mais quel exploit on dirait les fils de pute qui mettent du jambon dans le rayon hallal carrefour","LeFichty",2017-06-13 05:33:47,3,6
"301","ive done the same with","workshedpod",2017-06-13 05:32:16,0,0
"302","well done","artsyChica2012",2017-06-13 05:32:13,1,0
"303","not all heroes wear capes","DerekPutinov",2017-06-13 05:32:11,15,4
"304","personally i see this as just causing trouble for stockers if you want a nasa shirt for your girl just buy it fro","PooltoyWolf",2017-06-13 05:30:36,1,0
"305","this is cute if you werent so full of shit try harder next time try not to fuck an employees day for your bs","ron_riddle",2017-06-13 05:29:25,1,0
"307","det hr r s otroligt patetiskt det vrsta r vl att personen tom skryter om sin protest","Simon_Finne",2017-06-13 05:26:58,1,0
"308","did i just put the bras in the mens section yes yes i did","StuartMc1",2017-06-13 05:21:10,0,0
"310","small acts of resistance","ArneEichberg",2017-06-13 05:18:43,1,0
"311","great work","WrongKindOfSnow",2017-06-13 05:11:47,0,0
"312","well done","freddorsimont",2017-06-13 05:11:21,0,0
"313","who the hell is this mutt","TheMikeOG",2017-06-13 05:10:35,4,1
"314","good for you lady and then some low paid worker under instruction from hq has to move them back why not e","MrsVickiDay",2017-06-13 05:08:38,0,0
"315","gold star of the year","riledirish",2017-06-13 05:05:38,1,0
"317","did you just fuck up the pricing making the staff either change it or make a customer pissed off yes yes you di","Samuel_Stroud",2017-06-13 05:01:55,0,0
"318","omg thank you so much for saving the world now there will be true equality for all praise jesus get over yourself","AndieARBEIT",2017-06-13 05:01:27,3,0
"319","brilliant","Dr_AmyBrown",2017-06-13 05:00:43,12,2
"320","did you just make minimum wage employees do extra work for nothing yes yes you did","DvashDavid",2017-06-13 04:58:18,1,0
"321","well thats a complete disrespect for others property","Plipster",2017-06-13 04:56:45,3,0
"322","joder s","mscopperpot",2017-06-13 04:56:14,2,0
"323","something i would do tbh","emily_macarthur",2017-06-13 04:55:44,1,0
"324","i want that top","_martays",2017-06-13 04:53:46,0,0
"325","excellent","helenperris",2017-06-13 04:50:07,0,0
"326","youre not a revolutionary youre a fucking inconvenience","BborDarb",2017-06-13 04:49:17,0,0
"327","hell yes","Kombinatke",2017-06-13 04:48:03,1,0
"328","this is bullshit i dont work hours a day to be a pawn in ur social experiments to shift the gender paradigm don","your_raeofsun",2017-06-13 04:47:02,2,1
"329","a tired overworked person will just have to put them back in their right place management wont hear about it li","Asantewa_Shakur",2017-06-13 04:46:33,0,0
